Weather 1,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
1160,3/30/25 00:06,15,58.5,6.9,,
1161,3/30/25 00:36,15,58.5,6.9,,
1162,3/30/25 01:06,15,58.5,6.9,,
1163,3/30/25 01:36,14.5,59,6.6,,
1164,3/30/25 02:06,14.5,59,6.6,,
1165,3/30/25 02:36,14.5,59,6.6,,
1166,3/30/25 03:06,14,59.5,6.2,,
1167,3/30/25 03:36,14,59.5,6.2,,
1168,3/30/25 04:06,14,59.5,6.2,,
1169,3/30/25 04:36,14,60,6.4,,
1170,3/30/25 05:06,13.5,60,5.9,,
1171,3/30/25 05:36,13.5,60,5.9,,
1172,3/30/25 06:06,13.5,60,5.9,,
1173,3/30/25 06:36,13.5,60,5.9,,
1174,3/30/25 07:06,13.5,60.5,6,,
1175,3/30/25 07:36,13.5,60.5,6,,
1176,3/30/25 08:06,13.5,60.5,6,,
1177,3/30/25 08:36,13.5,61,6.1,,
1178,3/30/25 09:06,13.5,61,6.1,,
1179,3/30/25 09:36,13.5,61,6.1,,
1180,3/30/25 10:06,14,61.5,6.7,,
1181,3/30/25 10:36,14.5,61.5,7.2,,
1182,3/30/25 11:06,14.5,61.5,7.2,,
1183,3/30/25 11:36,15,61.5,7.7,,
1184,3/30/25 12:06,15,62,7.8,,
1185,3/30/25 12:36,16.5,64,9.7,,
